city_name,department_code
puteaux,92
courbevoie,92
la défense,92
issy-les-moulineaux,92
boulogne-billancourt,92
neuilly-sur-seine,92
levallois-perret,92
nanterre,92
rueil-malmaison,92
suresnes,92
la garenne-colombes,92
colombes,92
clamart,92
meudon,92
clichy,92
asnières-sur-seine,92
gennevilliers,92
antony,92
chatillon,92
malakoff,92
montrouge,92
vanves,92
chaville,92
saint-cloud,92
sèvres,92
pantin,93
montreuil,93
saint-denis,93
aubervilliers,93
bobigny,93
noisy-le-grand,93
rosny-sous-bois,93
bondy,93
sevran,93
saint-ouen,93
la plaine saint-denis,93
épinay-sur-seine,93
villepinte,93
créteil,94
ivry-sur-seine,94
vitry-sur-seine,94
champigny-sur-marne,94
maisons-alfort,94
vincennes,94
saint-mandé,94
charenton-le-pont,94
fontenay-sous-bois,94
gentilly,94
villejuif,94
arcueil,94
le kremlin-bicêtre,94
nogent-sur-marne,94
orly,94
rungis,94
bagneux,92
versailles,78
saint-germain-en-laye,78
poissy,78
mantes-la-jolie,78
vélizy-villacoublay,78
guyancourt,78
les mureaux,78
sartrouville,78
évry,91
massy,91
les ulis,91
saclay,91
gif-sur-yvette,91
orsay,91
palaiseau,91
savigny-sur-orge,91
cergy,95
argenteuil,95
sarcelles,95
pontoise,95
herblay,95
enghien-les-bains,95
roissy-en-france,95
melun,77
champs-sur-marne,77
torcy,77
noisy-le-sec,93
aix-en-provence,13
sophia antipolis,06
valbonne,06
cannes,06
antibes,06
grasse,06
clermont-ferrand,63
saint-étienne,42
annecy,74
chambéry,73
valence,26
villeurbanne,69
vénissieux,69
saint-priest,69
écully,69
caluire-et-cuire,69
vaulx-en-velin,69
bron,69
champagne-au-mont-d'or,69
limonest,69
dardilly,69
mérignac,33
pessac,33
talence,33
bègles,33
villeneuve-d'ascq,59
roubaix,59
tourcoing,59
marcq-en-baroeul,59
wasquehal,59
croix,59
hem,59
saint-raphaël,83
toulon,83
fréjus,83
ge,69
télétravail,75
france,75
remote,75
